0,0,CAT Scale - TruckstopName,0,0,Latitude,Longitude,InterstateAddress,InterstateCity,State,InterstatePostalCode,PhoneNumber,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Pilot Travel Center,0,0,33.529307,-86.852215,"I-20 / 59, Exit 123",Birmingham,AL,35204,205-324-4532,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Flying J Travel Plaza,0,0,31.192005,-85.399838,Ross Clark Highway / Highway 231,Dothan,AL,36301,334-792-5152,false,false,false,false,false,0,false,false,
0,0,CAT Scale - I-20 Truck Stop,0,0,33.588383,-86.16475,I-20 & Exit 165,Lincoln,AL,35096,205-763-7626,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Sprint Mart #40,0,0,34.70996,-87.74385,21731 HWY 72 West,Tuscumbia,AL,35674,256-389-8684,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Kangaroo Express,0,0,33.60161,-85.833243,I-20 & Exit 185,Oxford,AL,36203,256-831-1239,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Dunn's Exxon,0,0,31.68821,-87.78041,Hwy 43 & Hwy 84,Grove Hill,AL,36451,251-275-2828,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Kangaroo Express,0,0,33.337495,-86.781631,I-65 & Exit 246,Pelham,AL,35124,205-987-1484,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Saveway Truck Plaza,0,0,32.264272,-86.352374,I-65 & Exit 164,Hope Hull,AL,36043,334-281-9100,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Flying J Travel Plaza,0,0,33.562598,-86.83188,I-65 & State Road 94 @ Exit 264,Birmingham,AL,35207,205-323-2177,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Pilot Travel Center,0,0,34.537656,-86.910125,I-65 Exit 334,Priceville,AL,35603,256-353-5252,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Pilot Travel Centers,0,0,33.172682,-87.479535,"I 20159, Exit 76",Tuscaloosa,AL,35405,205-553-9710,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Pilot Travel Centers,0,0,30.559192,-88.205613,I-10 & Exit 13,Mobile,AL,36582,251-653-8834,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Amaco ,0,0,34.118474,-86.394536,HWY 278 & 75,Snead ,AL,35952,205-466-7900,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Petro Stopping Center,0,0,32.406014,-85.955937,"I-85, Exit 22",Shorter,AL,36075,334-727-3354,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Flying J Travel Plaza,0,0,33.320719,-87.046974,I-20/I-59 @ Exit 104,McCalla,AL,35111,205-477-9181,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Bridges Travel Plaza,0,0,32.744692,-85.278578,I-85 & Exit 70,Cusseta,AL,36852,3347563161,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Kangaroo Express,0,0,31.20169,-87.30906,I-65 & Exit 69,Brewton,AL,36426,251-296-7214,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Kangaroo Express,0,0,33.551395,-86.784481,I-20 & 59 Exit 128,Birmingham,AL,35234,205-808-3879,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Midway Truck Stop,0,0,30.936297,-88.025591,11775 Hwy 43 North,Axis,AL,36505,251-679-1923,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Pilot Travel Centers,0,0,30.873002,-88.047462,"1-65 & US 43, Exit 19",Satsma,AL,36579,251-679-6260,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Flying J / Pilot,0,0,32.194188,-86.42136,I-65 Exit 158,Hope Hull,AL,36043,334-613-0212,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Montgomery Travel Center,0,0,32.327864,-86.331422,I-65 Exit 168,Montgomery,AL,36105,334-288-3700,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Love's Country Store,0,0,32.845532,-86.591889,"I-65 & CR 28, Exit 208",Clanton,AL,35045,205-755-8104,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Petro Stopping Center,0,0,33.994789,-86.082613,I-59 & Hwy 77 Exit 181,Gadsden,AL,35954,256-413-7135,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Marathon 102,0,0,32.453062,-85.014159,410 US 431 S,Phenix City,AL,36867,334-291-1416,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Petro - Dodge City,0,0,34.115049,-86.862722,I-65 Exit 299 (Jasper Exit),Cullman,AL,35055,256-287-1299,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Pilot Travel Center,0,0,33.59295,-86.158991,I-20 Exit 165 NEQ,Lincoln,AL,35096,205-763-2225,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Love's Country Store,0,0,34.366621,-86.893552,I-65 / Hwy 55 Exit 322,Falkville,AL,35622,256-784-6106,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Love's Country Store,0,0,33.9341,-86.19073,I-59 & Exit 174,Steele,AL,35987,256-538-1964,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Love's Country Store,0,0,31.42052,-87.00767,I-65/Hwy 84 Exit 93,Evergreen,AL,36401,251-578-4496,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Love's Country Store,0,0,33.278599,-87.099791,I-20/59 Exit 100,McCalla,AL,35111,205-477-9423,false,false,false,false,false,0,false,false,
0,0,CAT Scale - Fackler Texaco Truckstop,0,0,34.775074,-85.893828,US 72 (MM 149) & CR 42,Fackler,AL,35746,256-437-2663,false,false,false,false,false,0,false,false,
0,0,CAT Scale - TA Cottondale,0,0,33.177242,-87.44595,"I-20 & I-59, Exit 77",Cottondale,AL,35453,205-554-0215,false,false,false,false,false,0,false,false,
